Date,NumAeronaves,Aircraft A,Aircraft A Ini Man Time,Aircraft A Ini Man Lat,Aircraft A Ini Man Lon,Aircraft A Ini Man Alt,Aircraft A Ini Man Vel_xy,Aircraft A Ini Man Vel_z,Aircraft A Ini Man Track,Speed Maneuver,Altitude Maneuver,Track Maneuver,Aircraft A End Man Time,Aircraft A End Man Lat,Aircraft A End Man Lon,Aircraft A End Man Alt,Aircraft A End Man Vel_xy,Aircraft A End Man Vel_z,Aircraft A End Man Track,Aircraft A Conflict Time,Aircraft A Conflict Lat,Aircraft A Conflict Lon,Aircraft A Conflict Alt,Aircraft A Conflict Vel_xy,Aircraft A Conflict Vel_z,Aircraft A Conflict Track,Aircraft B,Aircraft B Conflict Time,Aircraft B Conflict Lat,Aircraft B Conflict Lon,Aircraft B Conflict Alt,Aircraft B Conflict Vel_xy,Aircraft B Conflict Vel_z,Aircraft B Conflict Track
20230727,5785,02a1b3,2023-07-27 18:06:35,44.52744788193101,-0.33733439937541865,11198.243531430793,208.78596512555416,3.013987242489494,209.34666463163515,0,-1,0,2023-07-27 18:45:35,40.17051211148893,-2.8300945836806766,11218.914158378879,220.83184320284136,2.5536171935594147,193.90791520409326,2023-07-27 18:06:35,44.52744788193101,-0.33733439937541865,11198.243531430793,208.78596512555416,0.0,209.34666463163515,020112,2023-07-27 18:05:45,44.59670085106383,-0.404507659574468,11277.0,318.85898130049924,0.0,207.0
20230727,5785,06a099,2023-07-27 12:07:24,43.86268759308824,20.76786563287347,10482.754658198834,272.7490759925061,0.3826815941114527,119.83551081953462,0,-1,0,2023-07-27 13:10:24,40.24871045923322,31.823969140652846,10455.00884307732,266.56336765234573,0.7898207930143626,108.62472517040214,2023-07-27 12:23:24,42.68800002805032,23.56437140261912,10482.754658198834,271.9523835251242,-15.106289721674335,111.68044011329081,6831d7,2023-07-27 12:22:46,42.66346239316239,23.671808547008546,11000.675213675213,260.8238147055536,-15.106289721674335,112.0
20230727,5785,06a0b0_1,2023-07-27 17:23:08,45.17406676822125,23.34198250619177,11792.235898801115,303.7566601885082,2.2585183650730314,118.46123253489579,-1,0,0,2023-07-27 17:47:08,43.21925979488414,27.87189744676943,11689.865456687023,312.04019945907237,-6.090112385049639,122.7918421836892,2023-07-27 17:33:08,44.39068735504949,25.365140316678833,11792.235898801115,79.61700342430686,0.0,119.43557571773145,896214,2023-07-27 17:32:30,44.33209432048682,25.30329810068228,11341.477411027106,279.7292031948343,0.0,159.1736031716762
20230727,5785,06a1eb,2023-07-27 14:34:12,46.168070765440994,22.301566160088445,10672.154461735132,250.6466624158651,0.20280704010311398,126.98492632959592,1,0,0,2023-07-27 16:31:12,35.898894889779015,39.64061699019759,10667.999999998385,260.50381248878483,0.14273739321156667,135.2908745362882,2023-07-27 14:37:12,45.92356489743144,22.766845566915936,10672.154461735132,292.96608514198823,-2.5500429055098515,127.29234161187159,a806d8,2023-07-27 14:36:25,45.8693092893068,22.859891707850423,11070.641975071068,245.58681041105908,-2.5500429055098515,223.79810715066697
20230727,5785,06a2e9,2023-07-27 12:42:03,45.00082597075479,26.374802646966256,11148.801891186555,273.35628603079647,3.8961415097819203,136.59965059794405,-1,0,0,2023-07-27 13:07:03,42.38773225550765,29.71759540183394,11740.159873324872,274.55665943285965,-2.4847996853638206,123.06151894139713,2023-07-27 13:02:03,42.854081647667684,29.179403363564322,11148.801891186555,365.09807346435133,0.46736778387859373,137.6952292953795,4cad49,2023-07-27 13:01:22,42.77930954015099,29.21965367192862,11277.0,49.555234005505724,0.46736778387859373,94.70418668496912
20230727,5785,0d0a19,2023-07-27 17:48:54,32.76138704732805,-117.19938934269926,10564.261896485721,223.07245145190376,-5.6941201223211815,137.11258375677448,-1,0,0,2023-07-27 18:21:54,30.138936656404343,-114.29931991239427,10359.62528587353,222.08226257617204,-0.31485809931803593,134.01283299766365,2023-07-27 18:09:54,30.9033763610505,-115.17952768628385,10564.261896485721,80.49302570134842,1.7632931584544485,143.787658411575,0d0ce0,2023-07-27 18:09:20,30.83743218716767,-115.17392364409784,10722.65523573201,204.79220740067268,1.7632931584544485,147.8363452676356
20230727,5785,151e53,2023-07-27 11:59:28,44.25416187379708,47.296899553194805,11276.98818300174,261.8847890756067,-1.2273365033736012e-05,68.4589383758608,0,0,1,2023-07-27 15:34:28,52.126129330759234,66.05233280137266,11277.29804375803,223.96409723722226,-0.16392406692406664,207.43071557271526,2023-07-27 11:59:28,44.25416187379708,47.296899553194805,11276.98818300174,261.8847890756067,-0.0001415525114156109,68.4589383758608,151e2f,2023-07-27 11:58:55,44.276228,47.3863585,11277.0,20.428667903178876,-0.0001415525114156109,70.0
20230727,5785,151e6b,2023-07-27 11:32:27,43.410523473055065,48.25422632328428,10674.520156840137,108.31596706517689,0.02376450944683784,366.4979912142359,1,0,0,2023-07-27 11:55:27,45.539137226916026,48.45005202755011,10674.222472024647,115.98511470460966,0.021432096802897163,4.681950931838428,2023-07-27 11:44:27,44.107919909161424,48.363876929988905,10674.520156840137,314.59395400301054,1.320004354158221,43.933871006213195,151e14,2023-07-27 11:44:02,44.0732355704698,48.26753523489933,10654.694630872484,256.3888886343212,1.320004354158221,85.0
20230727,5785,3453c3,2023-07-27 11:36:04,52.75372987325658,5.845056787053176,10553.184926190768,259.2269573473015,-3.071102017919048,40.64158994716124,1,0,0,2023-07-27 11:49:04,54.26031898750722,7.741343796333092,10555.225897710912,259.3320649124997,-5.142242865890472,37.62395471540066,2023-07-27 11:39:04,53.0716022148543,6.2973759066262085,10553.184926190768,305.2191145126764,0.0,36.20858608630827,4ca700,2023-07-27 11:39:03,53.10897452725251,6.30790489432703,10972.0,199.9023751771465,0.0,216.01446051167963
20230727,5785,392aed,2023-07-27 11:17:22,44.635778767974124,2.6983005055554203,10457.903906172207,60.114034627542466,-1.8685280885112814,174.1277598086567,1,0,0,2023-07-27 11:59:22,40.196059514829095,3.1195164618311897,10646.567932663616,58.238231719082854,-0.21866827141872644,179.1436744452291,2023-07-27 11:24:22,44.40976252093614,2.7307843302756187,10457.903906172207,225.4937102634301,-11.058146766169154,172.89792659216167,3946e5,2023-07-27 11:23:36,44.45625,2.730725,11048.25,221.1708019916528,-11.058146766169154,174.0
20230727,5785,400afb,2023-07-27 11:07:10,46.81594351141886,10.347798367855479,10276.028190131881,208.82280442599475,-3.463096511578665,312.1651150377821,0,0,-1,2023-07-27 11:33:10,47.875505657560865,6.384376647837415,10363.063955760386,215.02191376967806,0.05208238398806126,294.40769756794083,2023-07-27 11:18:10,47.64738762146123,8.997784518032297,10276.028190131881,207.05787603636108,-13.561418685121108,282.1343525711337,4bc887,2023-07-27 11:18:05,47.69230588235294,8.9094,9914.470588235294,248.99342237185218,-13.561418685121108,105.52941176470588
20230727,5785,40688d,2023-07-27 11:50:17,45.45358485048777,24.058897384950466,11830.264038896481,284.30537431538136,-7.533327520286097,125.028405053294,-1,0,0,2023-07-27 12:11:17,43.58215613921596,27.545211270846814,11875.239789606047,274.8717468248536,-0.32450387298959293,127.06663787675346,2023-07-27 11:51:17,45.3653476794342,24.23719422252378,11830.264038896481,276.14445663632773,-28.6334,125.14911476879547,405bfd,2023-07-27 11:50:36,45.384311999999994,24.286217999999998,11295.3,224.1708479613731,-28.6334,303.94
20230727,5785,40697c,2023-07-27 11:11:53,47.12841159305136,12.084280310148905,10865.616396311907,198.10201505650508,0.41865800291553806,301.0001692687458,0,0,-1,2023-07-27 11:40:53,47.71851306740735,7.518312705701852,10968.388904801335,207.77134483141742,0.16065932160058777,283.085565416952,2023-07-27 11:13:53,47.23838410519525,11.815302159309145,10865.616396311907,198.75949678419963,0.0,295.7952923399758,30067e,2023-07-27 11:13:11,47.16335212765957,11.723794680851064,10668.0,113.47304927071518,0.0,188.0
